frequency_re,frequency_im,v(c1)_re,v(c1)_im,v(c1:bv_max)_re,v(c1:bv_max)_im,v(c1:cap)_re,v(c1:cap)_im,v(c1:cj)_re,v(c1:cj)_im,v(c1:cjsw)_re,v(c1:cjsw)_im,v(c1:del)_re,v(c1:del)_im,v(c1:di)_re,v(c1:di)_im,v(c1:narrow)_re,v(c1:narrow)_im,v(c1:short)_re,v(c1:short)_im,v(c1:tc1)_re,v(c1:tc1)_im,v(c1:tc2)_re,v(c1:tc2)_im,v(c1:thick)_re,v(c1:thick)_im,v(c1_bv_max)_re,v(c1_bv_max)_im,v(c1_dtemp)_re,v(c1_dtemp)_im,v(c1_ic)_re,v(c1_ic)_im,v(c1_l)_re,v(c1_l)_im,v(c1_m)_re,v(c1_m)_im,v(c1_scale)_re,v(c1_scale)_im,v(c1_tc1)_re,v(c1_tc1)_im,v(c1_tc2)_re,v(c1_tc2)_im,v(c1_temp)_re,v(c1_temp)_im,v(c1_w)_re,v(c1_w)_im,v(r1)_re,v(r1)_im,v(r1:af)_re,v(r1:af)_im,v(r1:bv_max)_re,v(r1:bv_max)_im,v(r1:ef)_re,v(r1:ef)_im,v(r1:kf)_re,v(r1:kf)_im,v(r1:lf)_re,v(r1:lf)_im,v(r1:narrow)_re,v(r1:narrow)_im,v(r1:r)_re,v(r1:r)_im,v(r1:rsh)_re,v(r1:rsh)_im,v(r1:short)_re,v(r1:short)_im,v(r1:tc1)_re,v(r1:tc1)_im,v(r1:tc2)_re,v(r1:tc2)_im,v(r1:tce)_re,v(r1:tce)_im,v(r1:wf)_re,v(r1:wf)_im,v(r1_ac)_re,v(r1_ac)_im,v(r1_bv_max)_re,v(r1_bv_max)_im,v(r1_dtemp)_re,v(r1_dtemp)_im,v(r1_l)_re,v(r1_l)_im,v(r1_m)_re,v(r1_m)_im,v(r1_scale)_re,v(r1_scale)_im,v(r1_tc)_re,v(r1_tc)_im,v(r1_tc2)_re,v(r1_tc2)_im,v(r1_tce)_re,v(r1_tce)_im,v(r1_temp)_re,v(r1_temp)_im,v(r1_w)_re,v(r1_w)_im,v(vin)_re,v(vin)_im,v(vin_acmag)_re,v(vin_acmag)_im,v(vin_acphase)_re,v(vin_acphase)_im,v(vin_freq)_re,v(vin_freq)_im,v(vin_phase)_re,v(vin_phase)_im,v(vin_pwr)_re,v(vin_pwr)_im,v(vin_z0)_re,v(vin_z0)_im
10.0,0.0,-7833.708943756773,-62092.5718324234,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00783370894206708,-0.06209257181903032,-0.00783370894206708,-0.06209257181903032,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-7.833701109083565e-06,-6.209250973220897e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-7.833701109083565e-06,-6.209250973220897e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.007833708941627111,0.06209257181554412,-0.00783370110738497,-0.06209250971874478,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.9960676823252296,-0.06258477826542305,0.001092310331866351,0.01738466063766267,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
11.22018454301963,0.0,-9842.003251744467,-69456.00476611588,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.009842003249852453,-0.06945600475276376,-0.00984200324796044,-0.06945600473941163,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-9.84199340988158e-06,-6.945593531110121e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.009842003250420821,0.06945600475677395,-0.009841993407747373,-0.06945593529604036,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.9950545407258512,-0.07014985121051034,0.001224345763035012,0.01736697798180303,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
12.58925411794167,0.0,-12358.67703524051,-77631.18973594475,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.01235867703312306,-0.07763118972264399,-0.01235867703312306,-0.07763118972264399,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.235866467673788e-05,-7.76311121058501e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01235867703357646,0.0776311897254917,-0.01235866467405803,-0.07763111208901652,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.993781997851178,-0.07860876869881737,0.001371981724513925,0.01734476791970449,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
14.12537544622754,0.0,-15508.67448357468,-86682.28341595575,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0155086744812065,-0.08668228340271933,-0.01550867447883832,-0.0866822833894829,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.550865897446135e-05,-8.668219673122046e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01550867448082893,0.0866822834006093,-0.01550865897109846,-0.08668219671242422,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.9921845819187342,-0.08805871472976015,0.001536914397080564,0.01731688775320639,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
15.84893192461113,0.0,-19445.48461262699,-96667.55109319858,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.01944548460998057,-0.09666755108004266,-0.01944548460998057,-0.09666755108004266,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.944546516850791e-05,-9.666745443243503e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01944548461109987,0.09666755108560621,-0.01944546516429117,-0.09666745441147363,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.9901808417448502,-0.09860396698333795,0.001720963769596449,0.01728191589098552,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
17.78279410038922,0.0,-24356.40837974518,-107633.4964633103,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.02435640837679089,-0.1076334964502549,-0.02435640837383659,-0.1076334964371996,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.43563840242911e-05,-0.0001076333888340316,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.02435640837707643,0.1076334964515169,-0.02435638401900968,-0.1076333888106923,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.9876697609357019,-0.1103549010586441,0.001926056259690994,0.01723808926438324,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
19.95262314968879,0.0,-30468.04558806757,-119606.5257119835,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.03046804558148015,-0.1196065256861237,-0.03046804558148015,-0.1196065256861237,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3.046801512010241e-05,-0.0001196064061057734,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.03046804558361559,0.1196065256945069,-0.03046801511349573,-0.1196064060798379,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.9845265494565734,-0.1234261835702342,0.00215419317734433,0.01718322987643266,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
22.38721138568338,0.0,-38051.4818329371,-132581.3925293789,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0380514818329371,-0.1325813925293789,-0.03805148182560477,-0.1325813925038311,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3.805144378710327e-05,-0.0001325812599676651,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.03805148183292464,0.1325813925293353,-0.03805144377885211,-0.1325812599389161,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.9805978141900297,-0.13793382803031,0.002407399340338377,0.01711466051219728,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
25.11886431509578,0.0,-47426.26803008102,-146505.5736731448,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.04742626802193606,-0.146505573647984,-0.04742626802193606,-0.146505573647984,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-4.742622060343698e-05,-0.0001465054271664098,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.04742626802265008,0.1465055736501898,-0.04742622059315314,-0.1465054271346415,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.9756961907668714,-0.1539906945552915,0.002687644529319807,0.01702911104654593,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
28.18382931264452,0.0,-58961.72176613073,-161258.7245795525,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.05896172175710586,-0.1612587245548698,-0.05896172174808101,-0.161258724530187,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-5.896166280054512e-05,-0.0001612585633102606,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.05896172175349609,0.1612587245449969,-0.0589616627877599,-0.1612585632752932,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.9695946539789452,-0.1716999151852719,0.002996728737977904,0.01692261914212242,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
