 frequency       frequency       frequency       v(out)          v(out)          vdb(out)        vp(out)        
 1.00000000e+03  1.00000000e+03  0.00000000e+00  2.47045230e-02 -1.55223096e-01 -1.60722353e+01 -1.41296514e+00 
 1.12201845e+03  1.12201845e+03  0.00000000e+00  1.97237168e-02 -1.39049242e-01 -1.70501124e+01 -1.42988936e+00 
 1.25892541e+03  1.25892541e+03  0.00000000e+00  1.57309194e-02 -1.24432542e-01 -1.80324589e+01 -1.44504218e+00 
 1.41253754e+03  1.41253754e+03  0.00000000e+00  1.25360727e-02 -1.11260593e-01 -1.90183850e+01 -1.45859646e+00 
 1.58489319e+03  1.58489319e+03  0.00000000e+00  9.98349713e-03 -9.94174377e-02 -2.00071730e+01 -1.47071187e+00 
 1.77827941e+03  1.77827941e+03  0.00000000e+00  7.94649037e-03 -8.87881955e-02 -2.09982464e+01 -1.48153475e+00 
 1.99526231e+03  1.99526231e+03  0.00000000e+00  6.32245489e-03 -7.92621060e-02 -2.19911426e+01 -1.49119843e+00 
 2.23872114e+03  2.23872114e+03  0.00000000e+00  5.02864343e-03 -7.07344059e-02 -2.29854916e+01 -1.49982383e+00 
 2.51188643e+03  2.51188643e+03  0.00000000e+00  3.99852894e-03 -6.31073744e-02 -2.39809976e+01 -1.50752019e+00 
 2.81838293e+03  2.81838293e+03  0.00000000e+00  3.17875859e-03 -5.62907993e-02 -2.49774245e+01 -1.51438593e+00 
 3.16227766e+03  3.16227766e+03  0.00000000e+00  2.52662956e-03 -5.02020488e-02 -2.59745843e+01 -1.52050955e+00 
 3.54813389e+03  3.54813389e+03  0.00000000e+00  2.00801668e-03 -4.47658860e-02 -2.69723268e+01 -1.52597042e+00 
 3.98107171e+03  3.98107171e+03  0.00000000e+00  1.59568335e-03 -3.99141221e-02 -2.79705329e+01 -1.53083969e+00 
 4.46683592e+03  4.46683592e+03  0.00000000e+00  1.26791245e-03 -3.55851774e-02 -2.89691073e+01 -1.53518104e+00 
 5.01187234e+03  5.01187234e+03  0.00000000e+00  1.00740136e-03 -3.17235954e-02 -2.99679747e+01 -1.53905141e+00 
 5.62341325e+03  5.62341325e+03  0.00000000e+00  8.00373178e-04 -2.82795435e-02 -3.09670747e+01 -1.54250168e+00 
 6.30957344e+03  6.30957344e+03  0.00000000e+00  6.35863686e-04 -2.52083193e-02 -3.19663598e+01 -1.54557732e+00 
 7.07945784e+03  7.07945784e+03  0.00000000e+00  5.05150543e-04 -2.24698768e-02 -3.29657918e+01 -1.54831888e+00 
 7.94328235e+03  7.94328235e+03  0.00000000e+00  4.01297032e-04 -2.00283797e-02 -3.39653405e+01 -1.55076259e+00 
 8.91250938e+03  8.91250938e+03  0.00000000e+00  3.18787874e-04 -1.78517856e-02 -3.49649821e+01 -1.55294075e+00 
 1.00000000e+04  1.00000000e+04  0.00000000e+00  2.53238813e-04 -1.59114639e-02 -3.59646973e+01 -1.55488218e+00 
 1.12201845e+04  1.12201845e+04  0.00000000e+00  2.01165217e-04 -1.41818458e-02 -3.69644711e+01 -1.55661258e+00 
 1.25892541e+04  1.25892541e+04  0.00000000e+00  1.59797823e-04 -1.26401063e-02 -3.79642914e+01 -1.55815487e+00 
 1.41253754e+04  1.41253754e+04  0.00000000e+00  1.26936095e-04 -1.12658769e-02 -3.89641487e+01 -1.55952950e+00 
 1.58489319e+04  1.58489319e+04  0.00000000e+00  1.00831556e-04 -1.00409855e-02 -3.99640353e+01 -1.56075467e+00 
 1.77827941e+04  1.77827941e+04  0.00000000e+00  8.00950132e-05 -8.94922332e-03 -4.09639452e+01 -1.56184663e+00 
 1.99526231e+04  1.99526231e+04  0.00000000e+00  6.36227785e-05 -7.97613507e-03 -4.19638737e+01 -1.56281985e+00 
